ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
klaczko et al., 1986|Klaczko, L.B. & Taylor, C.E. & Powell, J.R.|1986|Genetic variation for dispersal by Drosophila pseudoobscura and Drosophila persimilis.|229-235|112|Genetics|pdf / ii.1986|1986-02-31||||
klaczko et al., 1990|Klaczko, L.B. & Otto, P.A. & Peixoto, A.A.|1990|Allele frequency estimates when only heterozygotes can be recognized: method of estimation and application in the case of chromosomal inversion polymorphisms in Drosophila.|263-270|64|Heredity|pdf|||||
klaczko, 1983|Klaczko, L.B.|1983|Genotype-dependent variation in yeast preferences in natural populations of Drosophila. (Abstract).|43|104|Genetics|pdf / vi.1983|1983-06-31||||
klaczko, 1995|Klaczko, L.B.|1995|Population Genetics of Drosophila mediopunctata.|140-153||Columbia University Press|pdf / 853113 / QH 0455 GENE||||Levine, L.|Genetics of Natural Populations. The Continuing Importance of Theodosius Dobzhansky
klaczko, 2006|Klaczko, L.B.|1006|Evolutionary Genetics of Drosophila mediopunctata.|43-55|126|Genetica|pdf|||||
klarenberg & kersten, 1994|Klarenberg, A.J. & Kersten, L.|1994|Nematode parasitism in Drosophila quinaria and D. testacea species groups.|125-126|75|D. I. S.|pdf / vii.1994|1994-07-31||||
klarsfeld et al., 2003|Klarsfeld, A. & Leloup, J.-C. & Rouyer, F.|2003|Circadian rhythms of locomotor activity in Drosophila.|161-175|64|Behavl Processes|pdf|||||
klasterska & ramel, 1990|Klasterska, I. & Ramel, C.|1990|A comparative study of male meiosis in Drosophila melanogaster and D. virilis.|89-98|81|Genetica|pdf|||||
klee, 1889|Klee, W.G.|1889|Introduction of Icerya Parasites in California.|220|1|Insect Life|pdf / seg 780 / i.1889|1889-01-31||||
kleiber et al., 2014|Kleiber, J.R. & Unelius, C.R. & Lee, J.C. & Suckling, D.M. & Qian, M.C. & Bruck, D.J.|2014|Attractiveness of Fermentation and Related Products to Spotted Wing Drosophila (Diptera: Drosophilidae).|439-447|43|Environ. Ent.|pdf|||||
klemm & ninnemann, 1976|Klemm, E. & Ninnemann, H.|1976|Detailed action spectrum for the delay shift in pupae emergence of Drosophila pseudoobscura.|369-371|24|Photochem. Photobiol.|pdf / p c 677:24 / x.1976|1976-10-31||||
kliman & hey, 1993|Kliman, R.M. & Hey, J.|1993|DNA Sequence Variation at the period Locus Within and Among Species of the Drosophila melanogaster Complex.|375-387|133|Genetics|pdf / ii.1993|1993-02-31||||
kliman et al., 2000|Kliman, R.M. & Andolfatto, P. & Coyne, J.A. & Depaulis, F. & Kreitman, M. & Berry, A.J. & McCarter, J. & Wakeley, J. & Hey, J.|2000|The Population Genetics of the Origin and Divergence of the Drosophila simulans Complex Species.|1913-1931|156|Genetics|pdf|||||
klingenberg & zaklan, 2000|Klingenberg, C.P. & Zaklan, S.D.|2000|Morphological integration between developmental compartments in the Drosophila wing.|1273-1285|54|Evolution|pdf|||||
klingenberg et al., 1998|Klingenberg, C.P. & McIntyre, G.S. & Zaklan, S.D.|1998|Left-right asymmetry of fly wings and the evolution of body axes.|1255-1259|265|Proc. r. Soc.|pdf|||||
klingenberg, 2002|Klingenberg, C.P.|2002|Morphometrics and the role of the phenotype in studies of the evolution of developmental mechanisms.|3-10|387|Gene|pdf|||||
klinken & Walter, 1995|van Klinken, R. & Walter, G.H.|1995|Habitat associations of banana-attracted drosophilids in the Cairns region.|11-13|31|Myrmecia|pdf|||1||
klinken & walter, 1996|van Klinken, R.D. & Walter, G.H.|1996|The ecology of organisms that bred in divided and ephemeral habitat: insects of fallen rainforest fruit.|405-420|17|Acta Oecol.|pdf / p 817880||p 817880|||
klinken & walter, 2001a|van Klinken, R.D. & Walter, G.H.|2001|Larval hosts of Australian Drosophilidae (Diptera): A field survey in subtropical and tropical Australia.|163-179|40|Aust. J. Entomol.|pdf / 2001a / P 814180:40/1|||||
klinken & walter, 2001b|van Klinken, R.D. & Walter, G.H.|2001|Subtropical drosophilids in Australia can be characterized by adult distribution across vegetation type and by height above forest floor.|705-718|17|J. Trop. Ecol.|pdf / 2001b|||||
klinken et al., 2002|van Klinken, R.D. & Walter, G.H. & Ross, M.K.|2002|Drosophilidae (Diptera) of Australia's Northern Territory: ecology and biogeography.|236-242|41|Aust. J. Entomol.|pdf / p 814180||p 814180|||
klinken, 1996|van Klinken, R.D.|1996|Understanding diversity in ecological communities: a study of Australian Drosophilidae with emphasis on the coracina group of Scaptodrosophila species.|||Dissertation, University of Brisbane.|pdf / part|||||
klinken, 1997|van Klinken, R.D.|1997|Taxonomy and Distribution of the coracina Group of Scaptodrosophila Duda (Diptera: Drosophilidae) in Australia.|423-442|11|Invert. Taxonomy|pdf / P 819340|||||
klobutcher, 1977|Klobutcher, L.A.|1977|Aging and Frequency-Dependent Mating in Drosophila.|33-36|7|Behav. Genet.|pdf / p 814849 / i.1977|1977-01-31|p 814849|||
kloepper et al., 1976|Kloepper, J.W. & Harrison, M.D. & Brewer, J.W.|1976|Contamination of insects by two varieties of Erwinia carotovora in nature and their ability to transmit the pathogens to potato plants. (Abstract).|258|3|Proc. Am. Phytopath. Soc.|pdf / p 815950||p 815950|||
kloet & hinks, 1945|Kloet, G.S. & Hinks, W.D.|1945|A check list of British insects. 483 pp.||||pdf / part|||||
kloet & hinks, 1976|Kloet, G.S. & Hinks, W.D.|1976|A check list of British insects. 2nd Edit. Part 5: Diptera and Siphonaptera.|1-139|11|Handbk Ident. Br. Insects|pdf / part|||5||
klomp, 1961|Klomp, H.|1961|The concepts "similar ecology" and "competition" in animal ecology.|90-102|14|Arch. neerl. Zool.|pdf / part / p 89188 / iii.1961|1961-03-31|p 89188|||
klowden & greenberg, 1974|Klowden, M. & greenberg, B.|1974|House fly and Drosophila cell cultures as hosts for human enteroviruses.|428-432|11|J. med. Ent.|pdf / 31.viii.1974|1974-08-31||||
klug et al., 1968|Klug, W.S. & Bodenstein, D. & King, R.C.|1968|Oogenesis in the Suppressor of Hairy-wing Mutant of Drosophila melanogaster. I. Phenotypic characterization and transplantation experiments.|151-156|167|J. exp. Zool.|pdf / ii.1968|1968-02-31||||
klug et al., 1974|Klug, W.S. & Campbell, D. & Cummings, M.R.|1974|External morphology of the egg of Drosophila melanogaster Meigen (Diptera: Drosophilidae).|33-40|3|Int. J. Insect Morph. Embryol.|pdf / p 814895 / iii.1974|1974-03-31|p 814895|||
knab, 1912|Knab, F.|1912|Drosophila repleta Wollaston.|106-108|19|Psyche, Camb., Mass.|pdf / p 811833 / vi.1912|1912-06-31|p 811833|||
knab, 1914a|Knab, F.|1914|On the genus Cryptochaetum (Diptera, Muscidae acalyptratae).|33-36|2|Insecutor Inscit. Menstr.|pdf / 30.iii.1914 / 1914a|1914-03-30||||
knab, 1914b|Knab, F.|1914|Drosophilidae with parasitic larvae.|165-169|2|Insecutor Inscit. Menstr.|pdf / 7.xii.1914 / 1914b|1914-12-07||||
knapp, 1952|Knapp, E.P.|1952|Variabilidade genica e taxa de alelismo em populacoes naturais de D. willistoni de Ilhas Angra dos Reis. (Abstract).|141|4|Cienc. e Cult.|pdf / X.1952|||||
knapp, 1953|Knapp, E.P.|1952|Polimorfismo cromossomico em populacoes naturais de Drosophila sturtevanti Duda. (Abstract).|220|5|Cienc. e Cult.|pdf / X.1952|||||
knapp, 1954|Knapp, E.P.|1954|Polimorfismo cromossomico em populacoes naturais de Drosophila sturtevanti Duda. (Abstract).|42|36|Revta bras. Chim.|pdf / I.1954|||||
kneidel, 1983|Kneidel, K.A.|1983|Fugitive species and priority during colonization in carrion-breeding Diptera communities.|163-169|8|Ecol. Ent.|pdf / seg 348|||||
knez, 1959|Knez, F.|1959|Drosophila of the Montgomery Arboretum, Illinois.|126-127|52|Trans. Ill. Acad. Sci.|pdf|||||
knibb & barker, 1988|Knibb, W.R. & Barker, J.S.F.|1988|Polymorphic Inversion and Esterase Loci Complex on Chromosome 2 of Drosophila buzzatii. II. Spatial Variation.|239-246|41|Aust. J. biol. Sci.|pdf / p 812608||p 812608|||
knibb et al., 1981|Knibb, W.R. & Oakeshott, J.G. & Gibson, J.B.|1981|Chromosome inversion polymorphisms in Drosophila melanogaster. I. Latitudinal clines and associations between inversions in Australasian populations.|833-847|98|Genetics|pdf / viii.1981|1981-08-31||||
knibb et al., 1987a|Knibb, W.R. & Oakeshott, J.G. & Wilson, S.R.|1987|Chromosome inversion polymorphisms in Drosophila melanogaster IV. Inversion and Adh allele frequency changes under selection for different development times.|95-104|59|Heredity|pdf / viii.1987|1987-08-31||||
knibb et al., 1987b|Knibb, W.R. & East, P.D. & Barker, J.S.F.|1987|Polymorphic Inversion and Esterase Loci Complex on Chromosome 2 of Drosophila buzzatii. I. Linkage Disequilibria.|257-269|40|Aust. J. biol. Sci.|pdf / p 812608||p 812608|||
knibb, 1982|Knibb, W.R.|1982|Chromosome inversion polymorphisms in Drosophila melanogaster. II. Geographic clines and climatic associations in Australasia, North America and Asia.|213-221|58|Genetica|24.iv.1982|1982-04-24||||
knibb, 1983|Knibb, W.R.|1983|Chromosome inversion polymorphisms in Drosophila melanogaster. III. Gametic disequilibria and the contributions of inversion clines to the Adh and Gpdh clines in Australasia.|139-146|61|Genetica|pdf / 15.vii.1983|1983-07-15||||
knibb, 1986|Knibb, W.R.|1986|Temporal variation of Drosophila melanogaster Adh allele frequencies, inversion frequencies, and population sizes.|175-190|71|Genetica|pdf / 15.xii.1986|1986-12-15||||
knight et al., 1956|Knight, G.R. & Robertson, A. & Waddington, C.H.|1956|Selection for sexual isolation within a species.|14-22|10|Evolution|pdf / iii.1956|1956-03-31||||
knight, 1956|Knight, G.B.|1956|Chromosome number and morphology of Drosophila silvestris Basden - with a descriptive note on the internal genitalia of the adults.|439-442|87|Z. indukt. Abstamm.- u. VererbLehre|pdf / 7.iii.1956|1956-03-07||||
knight, 1961|Knight, G.B.|1961|Structural polymorphism in Drosophila subobscura Coll. from various localities in Scotland.|1-9|2|Genet. Res.|pdf / p n 186 / ii.1961|1961-02-31||||
knoppien et al., 1980|Knoppien, P. & Pot, W. & van Delden, W.|1980|Effects of rearing conditions and age on the difference in mating success between alcohol dehydrogenase genotypes of Drosophila melanogaster.|197-202|51|Genetica|pdf / 1.vii.1980|1980-07-01||||
knoppien et al., 2000|Knoppien, P. & van der Pers, J.N.C. & van Delden, W.|2000|Quantification of Locomotion and the Effect of Food Deprivation on Locomotor Activity in Drosophila.|27-43|13|J. Insect Behav.|pdf|||||
knoppien, 1984a|Knoppien, P.|1984|No evidence for rare male mating advantage in Drosophila melanogaster for strains raised at different temperatures.|131-132|60|D. I. S.|pdf / vi.1984 / 1984a|1984-06-31||||
knoppien, 1984b|Knoppien, P.|1984|The rare male mating advantage; an artifact caused by marking procedures?|862-866|123|Am. Nat.|pdf / vi.1984 / 1984b|1984-06-31||||
knoppien, 1985|Knoppien, P.|1985|The number of males stored per vial, a possible source of bias in rare male experiments.|101|61|D. I. S.|pdf / vi.1985|1985-06-31||||
knoppien, 1986|Knoppien, P.|1986|Low density storage enhances mating speed in Drosophila melanogaster.|76-77|63|D. I. S.|pdf / vi.1986|1986-06-31||||
knowles & markow, 2001|Knowles, L.L. & Markow, T.A.|2001|Sexually antagonistic coevolution of a postmating-prezygotic reproductive character in desert Drosophila.|8692-8696|98|Proc. Natl. Acad. Sci. USA|pdf|||||
knowlton, 1970|Knowlton, G.F.|1970|Control Drosophila.|1-2|82|Utah St. Univ. Ext. Leaflet|pdf|||||
knudsen et al., 2001|Knudsen, J.T. & Tollsten, L. & Ervik, F.|2001|Flower Scent and Pollination in Selected Neotropical Palms.|642-653|3|Plant Biol.|pdf|||||
knuth, 1898|Knuth, P.|1898|Handbuch der Blutenbiologie. II. Band, 1. Teil.|||Engelmann, Leipzig.|pdf / part / 82399:2|||||
knuth, 1899|Knuth, P.|1899|Handbuch der Blutenbiologie. II. Band, 2. Teil.|||Engelmann, Leipzig.|pdf / part / 82399:2|||||
knuth, 1904|Knuth, P.|1904|Handbuch der Blutenbiologie. III. Band, 1. Teil.|||Engelmann, Leipzig.|pdf / part / 82399:3/1|||||
knuth, 1905|Knuth, P.|1905|Handbuch der Blutenbiologie. III. Band, 2. Teil.|||Engelmann, Leipzig.|pdf / part / 82399:3/1|||||
knutsen et al., 1969|Knutsen, C. & Sing, C.F. & Brewer, G.J.|1969|Hexokinase Isozyme Variability in Drosophila robusta.|475-483|3|Biochem. Genet.|pdf / x.1969|1969-10-31||||
knutson, 1953|Knutson, H.|1953|Susceptibility of a Normal and an Inbred Strain of Drosophila melanogaster to Dieldrin, Toxaphene, DDT, and Methoxychlor.|137-141|46|J. econ. Ent.|pdf / p 812978 / ii.1953|1953-02-31|p 812978|||
knutson, 1955|Knutson, H.|1955|Modifications in fecundity and life span of Drosophila melanogaster Meigen following sublethal exposure to an insecticide.|35-39|48|Ann. ent. Soc. Am.|pdf / p 811748 / 18.v.1955|1955-05-18|p 811748|||
knutson, 1978|Knutson, L.|1978|Insects: Diptera (Flies).|128-137||Cornell University Press|pdf / part / 830682||||Morse, R.A.|Honey Bee Pests, Predators, and Diseases
ko et al., 2003|Ko, W.-Y. & David, R.M. & Akashi, H.|2003|Molecular Phylogeny of the Drosophila melanogaster Species Subgroup.|562-573|57|J. molec. Evol.|pdf|||||
koana et al., 1982|Koana, T. & Yajima, D. & Okada, M.|1982|Abnormality in external morphology of Drosophila induced by magnetic field. (Abstract).|418|24|Dev., Growth Diffn|pdf / p 815713||p 815713|||
kobayashi & bicudo, 1997|Kobayashi, M.K.H. & de Campos Bicudo, H.E.M.|1997|Inversion polymorphism in laboratory strains and natural samples of Drosophila sturtevanti (saltans group, sturtevanti subgroup).|7-20|89|Cytobios|pdf / part / P 815028|||||
kobayashi & watabe, 1985|Kobayashi, K. & Watabe, H.|1985|Drosophilid fauna of Rishiri Island in northern Japan.|102|61|D. I. S.|pdf / vi.1985|1985-06-31||||
kobayashi et al., 1995|Kobayashi, K. & Tsuchiai, H. & Sato, M. & Watabe, H.|1995|The Drosophilid Fly of Rishiri Island and its Biology. II. Net Collection from Herbaceous Plants and Fungi. (In Japanese).|31-44|15|Rishiri Res.|pdf|||||
kobayashi, 1975|Kobayashi, S.|1975|The Effect of Drosophila Release on the Spider Population in a Paddy Field.|268-275|10|Appl. Ent. Zool.|pdf / p 813986 / xii.1975|1975-12-31|p 813986|||
kobel & bosch, 1970|Kobel, H.R. & van den Bosch, J.J.|1970|Abnormal-abdomen bei Drosophila hydei.|119-140|41|Genetica|pdf|||||
kobel, 1968|Kobel, H.R.|1968|Homoeotische Flugelbildung durch das loboid-Allel "ophthalmoptera" (ldoph) bei Drosophila melanogaster.|329-344|39|Genetica|pdf|||||
koch & burla, 1962a|Koch, R. & Burla, H.|1962|Dispersal rates in Drosophila subobscura and Drosophila obscura in relation to factors of environment, sex and age.|83-84|36|D. I. S.|pdf / i.1962 / 31 / 1962a|1962-01-31||||
koch & burla, 1962b|Koch, R. & Burla, H.|1962|Ausbreitungsleistungen von Drosophila subobscura und Drosophila obscura im Laboratoriumsversuch.|325-334|69|Revue suisse Zool.|pdf / vii.1962 / 1952b|1962-07-31||||
koch et al., 1967|Koch, E.A. & Smith, P.A. & King, R.C.|1967|The Division and Differentiation of Drosophila cystocytes.|55-70|121|J. Morph.|pdf / i.1967|1967-01-31||||
koch, 1872|Koch, C.|1872|Beitrag zur Dipterenfauna Tirols.|329-344|17|Z. Ferdinand.|pdf / part / p 8557||p 8557|||
koch, 1945|Koch, J.|1945|Die Oenocyten von Drosophila melanogaster.|415-420|52|Revue suisse Zool.|pdf / viii.1945|1945-08-31||||
koch, 1967|Koch, R.|1967|Tagesperiodik der Aktivitat und der Orientierung nach Wald und Feld von Drosophila subobscura und Drosophila obscura.|353-394|54|Z. vergl. Physiol.|pdf / part / p 811633 / us 341 / 28.ii.1967 / 86|1967-02-28|p 811633|||
koehler et al., 1978|Koehler, W. & Krause, J. & Michutta, A.|1978|Schirmpigmentgehalt und negative Phototaxis von Drosophila. Eine genetische Analyse (Abstract).|291||Verh. Ges. Dtsch. Zool. 1978|pdf|||||
pdf / part / n 1020|koehn & eanes, 1976|Koehn, R.K. & Eanes, W.F.|1976|An Analysis of Allelic Diversity in Natural Populations of Drosophila: The Correlation of Rare Alleles with Heterozygosity.|377-390||Academic Press|pdf / part / n 1020||||Karlin, S. & Nevo, E.
koenig, 1965|Konig, J.|1965|Uber die Verbreitung der Fruchtfliegen aus der Gattung Drosophila im Kaiserstuhl und Breisgau.|452-471|20|Wein-Wiss.|pdf|||||
koenig, 1988|Konig, J.|1988|Uber das Auftreten von exponentiellen Wachstums- und Verzogerungsphasen beim Vorkommen von Drosophila subobscura im Kaiserstuhl und Breisgau. Teil 1.|183-194|75|Z. angew. Zool.|pdf|||||
koenig, 1990|Konig, J.|1990|Uber das Auftreten von exponentiellen Wachstums- und Verzogerungsphasen beim Vorkommen von Drosophila subobscura im Kaiserstuhl und Breisgau. Teil 2.|75-91|77|Z. angew. Zool.|pdf|||||
koenig, 1992|Koenig, J.|1992|Die Methode der Berechnung linearer Regressionen mittels standardisierter Einheitsmatrizen (STEM-Regressionen).|497-504|78|Z. angew. Zool.|pdf / p 815820||p 815820|||
koenig, 1993|Konig, J.|1993|Betrachtungen zur Standardisierung und Zerlegung einfacher linearer und exponentieller Regressionen zum Zwecke der Vereinheitlichung der Beschreibung okologischer Verhaltnisse. Dargestellt am Beispiel Drosophilidae.|623-626|8|Mitt. dtsch. Ges. Allg. Angew. Ent.|pdf / p 817448||p 817448|||
koepfer & fenster, 1991|Koepfer, H.R. & Fenster, E.J.|1991|Asymmetrical mating patterns between geographic strains of Drosophila mercatorum: a test of the Kaneshiro hypothesis.|455-458|45|Evolution|pdf / 7.v.1991|1991-05-07||||
koepfer, 1987a|Koepfer, H.R.|1987|Selection for sexual isolation between geographic forms of Drosophila mojavensis. I. Interactions between the selected forms.|37-48|41|Evolution|pdf / 14.i.1987 / 1987a|1987-01-14||||
koepfer, 1987b|Koepfer, H.R.|1987|Selection for sexual isolation between geographic forms of Drosophila mojavensis. II. Effects of selection of mating preference and propensity.|1409-1413|41|Evolution|pdf / 4.xii.1987 / 1987b|1987-12-04||||
koga et al., 1991|Koga, A. & Kusakabe, S. & Tajima, F. & Takano, T. & Harada, K. & Mukai, T.|1991|A method for detecting effect of beneficial mutations in natural populations of Drosophila melanogaster.|145-156|58|Genet. Res.|pdf / part / x.1991|1991-10-31||||
koga et al., 1993|Koga, A. & Baba, H. & Kusakabe, S. & Hattori, M. & Mukai, T.|1993|Distribution of Polymorphis Gene Duplication at the Gpdh Locus in Natural Populations of Drosophila melanogaster.|532-535|36|J. molec. Evol.|pdf / part / p c 1626 / vi. 1993|||||
kohane & parsons, 1986|Kohane, M.J. & Parsons, P.A.|1986|Environment-dependent fitness differences in Drosophila melanogaster: temperature, domestication and the alcohol dehydrogenase locus.|289-304|57|Heredity|pdf / xii.1986|1986-12-31||||
kohane & parsons, 1987|Kohane, M.J. & Parsons, P.A.|1987|Mating Ability in Laboratory-Adapted and Field-Derived Drosophila melanogaster: The Stress of Domestication.|541-558|17|Behav. Genet.|pdf / p 814849 / xi.1987|1987-11-31|p 814849|||
kohane, 1988|Kohane, M.J.|1988|Stress, altered energy availability and larval fitness in Drosophila melanogaster.|273-281|60|Heredity|pdf / iv.1988|1988-04-31||||
kohonen et al., 1985|Kohonen-Corish, M. & Lokki, J. & Saura, A. & Sperlich, D.|1985|The genetic load in a northern marginal population of Drosophila subobscura.|255-258|102|Hereditas|pdf / 15.viii.1985|1985-08-15||||
koizumi, 1954|Koizumi, K.|1954|Cryptochaetum grandicorne and Amiota variegata (Diptera, Acalyptera), as an eye-fly in Japan (Abstract, in Japanese).|73|20|Kontyu|pdf / 30.iv.1954|1954-04-30||||
kojima & kelleher, 1963|Kojima, K.-i. & Kelleher, T.M.|1963|A comparison of purebred and crossbred selection schemes with two populations of Drosophila pseudoobscura.|57-72|48|Genetics|pdf / 1.iii.1963|1963-03-01||||
kojima & kimura, 2003|Kojima, K. & Kimura, M.T.|2003|Life history adaptations and stress tolerance of four domestic species of Drosophila.|135-142|6|Ent. Sci.|pdf|||||
kojima et al., 1970|Kojima, K.-i. & Gillespie, J. & Tobari, Y.N.|1970|A Profile of Drosophila Species' Enzymes Assayed by Electrophoresis. I. Number of Alleles, Heterozygosities, and Linkage Disequilibrium in Glucose-Metabolizing Systems and Some Other Enzymes.|627-637|4|Biochem. Genet.|pdf / x.1970|1970-10-31||||
kojima et al., 1972|Kojima, K. & Smouse, P. & Yang, S. & Nair, P.S. & Brncic, D.|1972|Isozyme frequency patterns in Drosophila pavani associated with geographical and seasonal variables.|721-731|72|Genetics|pdf / xii.1972|1972-12-31||||
kokoza et al., 1982|Kokoza, V.A. & Kazakova, S.G. & Karakin, E.I.|1982|The genetic localization of genes responsible for two salivary gland secretion proteins of D. melanogaster.|94-95|58|D. I. S.|pdf / viii.1982|1982-08-31||||
kokoza et al., 1992|Kokoza, E.B. & Belyaeva, E.S. & Zhimulev, I.F.|1992|Localization of genes ecs, dor and swi in eight Drosophila species.|79-85|87|Genetica|pdf|||||
kokudai et al., 2011|Kokudai, C.B.S. & Sene, F.M. & Manfrin, M.H.|2011|Sympatry and Asymmetric Introgression Between the Cactiphilic Species Drosophila serido and Drosophila antonietae (Diptera: Drosophilidae).|434-442|104|Ann. ent. Soc. Am.|pdf|||||
kolbe & bruns, 1988|Kolbe, W. & Bruns, A.|1988|Insekten und Spinnen in Land- und Gartenbau.|||Rheinischer Landwirtschafts-Verlag|pdf|||||
koller, 1931|Koller, P.C.|1931|Genetic studies of the crosses of two races of Drosophila obscura.|1-21|4|Magy. Biol. Kutintez.|pdf|||||
koller, 1936|Koller, P.C.|1936|Structural hybridity in Drosophila pseudo-obscura.|79-102|32|J. Genet.|pdf / part / ii.1936|1936-02-31||||
koller, 1939a|Koller, P.C.|1939|Genetics of natural populations. III. Gene arrangements in populations of Drosophila pseudoobscura from contiguous localities.|22-33|24|Genetics|pdf / i.1939 / 1939a|1939-01-31||||
koller, 1939b|Koller, P.C.|1939|A new race of Drosophila miranda.|477-492|38|J. Genet.|pdf / ix.1939 / 1939b|1939-09-31||||
koller, 1949|Koller, P.C.|1949|Differential precocity at meiosis in Drosophila.|153-163|83|Am. Nat.|pdf / p 811819 / vi.1949|1949-06-31|p 811819|||
kolosov, 1936|Kolosov, Y.|1936|Katalog dvukrilik srednego urala. 27 pp. (in Russian).|||Sverdlovsk.|pdf|||||
kolumbe, 1931|Kolumbe, E.|1931|Uber die Wasserkelche von Commelina obliqua Hamlt.|596-607|8|Arch. Hydrobiol.|pdf / part / p 81918f|||||
komai & takaku, 1940|Komai, T. & Takaku, T.|1940|Two Independent Inversions in the X-chromosome of Drosophila virilis and Their Effects on Crossing Over and Disjunction.|245-260|11|Cytologia|pdf / part / p 814480 / 20.xii.1940|1940-12-20|p 814480|||
komai & takaku, 1942|Komai, T. & Takaku, T.|1942|On the Effect of the X-chromosome Inversions on Crossing Over in Drosophila virilis.|357-365|12|Cytologia|pdf / part / p 814480 / 30.xii.1942|1942-12-30|p 814480|||
komai & takaku, 1949|Komai, T. & Takaku, T.|1949|A Study on the Closely Linked Genes, Miniature and Dusky, in Drosophila virilis, with some Considerations on the Allelism of Genes.|87-97|14|Cytologia|pdf / p 814480 / 30.iii.1949|1949-03-30|p 814480|||
komai, 1937|Komai, T.|1937|Collection of D. simulans from Japan.|78|8|D. I. S.|pdf / xii.1937|1937-12-31||||
komai, 1951|Komai, T.|1951|Physiological genetics of Drosophila.|20-21|1|A. Rep. natn. Inst. Genet., Mishima|pdf|||||
kondo & kimura, 2006|Kondo, M. & Kimura, M.T.|2006|Drosophilid fauna in Kume-jima, a subtropical island of Japan.|138-139||Fukuoka|pdf|||||6th International Congress of Dipterology, Abstract Volume
kondo & kimura, 2008|Kondo, M. & Kimura, M.T.|2008|Diversity of drosophilid flies on Kume-jima, a subtropical island: comparison with diversity on Iriomote-jima.|7-15|11|Ent. Sci.|pdf|||||
kondoh et al., 2003|Kondoh, Y. & Kaneshiro, K.Y. & Kimura, K.-i. & Yamamoto, D.|2003|Evolution of sexual dimorphism in the olfactory brain of Hawaiian Drosophila.|1005-1013|270|Proc. r. Soc. Biol. Sci.|pdf|||||
konopka & benzer, 1971|Konopka, R.J. & Benzer, S.|1971|Clock Mutants of Drosophila melanogaster.|2112-2116|68|Proc. Natl. Acad. Sci. USA|pdf / p 84978 / ix.1971|1971-09-31|p 84978|||
konopka, 1976|Konopka, R.J.|1976|Genetic Dissection of Complex Behavior.|327-337|1|Life Sci. Res. Rep.|pdf / p 816391||p 816391|||
konopka, 1979|Konopka, R.J.|1979|Genetic dissection of the Drosophila circadian system.|2602-2605|38|Fed. Proc.|pdf / p 812165:38/12 / xi.1979|1979-11-31|p 812165:38|||
konopka, 1986|Konopka, R.|1986|Neurogenetics of Drosophila Circadian Rhythms.|215-221||Plenum Press|pdf / 840559||||Huettel, M.D.|Evolutionary Genetics of Invertebrate Behavior. Progress and Prospects
konopka, 1987|Konopka, R.J.|1987|Genetics of biological rhythms in Drosophila.|227-236|21|A. Rev. Genet.|pdf|||||
konstantopoulou & scouras, 1998|Konstantopoulou, I. & Scouras, Z.G.|1998|The Heat-Shock Gene hsp83 of Drosophila auraria: Genomic Organization, Nucleotide Sequence, and Long Antiparallel Coupled ORFs (LAC ORFs)|334-343|46|J. molec. Evol.|pdf|||||
koopman, 1950|Koopman, K.F.|1950|Natural selection for reproductive isolation between Drosophila pseudoobscura and Drosophila persimilis.|135-148|4|Evolution|pdf / vi.1950|1950-06-31||||
kopec, 1928|Kopec, S.|1928|On the influence of intermittent starvation on the longevity of the imaginal stage of Drosophila melanogaster.|204-211|5|Br. J. exp. Biol.|pdf / iii.1928|1928-03-31||||
kopelman & chabora, 1984|Kopelman, A.H. & Chabora, P.C.|1984|Immature Stages of Leptopilina boulardi (Hymenoptera: Eucoilidae), a Protelean Parasite of Drosophila spp. (Diptera: Drosophilidae).|264-269|77|Ann. ent. Soc. Am.|pdf / p 811748 / v.1984|1984-05-31|p 811748|||
kopp & barmina, 2005|Kopp, A. & Barmina, O.|2005|Evolutionary history of the Drosophila bipectinata species complex.|23-46|85|Genet. Res.|pdf|||||
kopp & duncan, 2002|Kopp, A. & Duncan, I.|2002|Anteroposterior Patterning in Adult Abdominal Segments of Drosophila.|15-30|242|Dev. Biol.|pdf|||||
kopp & frank, 2005|Kopp, A. & Frank, A.K.|2005|Speciation in progress? A continuum of reproductive isolation in Drosophila bipectinata.|55-68|125|Genetica|pdf|||||
kopp & true, 2002a|Kopp, A. & True, J.R.|2002|Evolution of male sexual characters in the Oriental Drosophila melanogaster species group.|278-291|4|Evol. Dev.|pdf / 2002a|||||
kopp & true, 2002b|Kopp, A. & True, J.R.|2002|Phylogeny of the Oriental Drosophila melanogaster Species Group: A Multilocus Reconstruction.|786-805|51|Syst. Biol.|pdf / p 814352 / 2002b||p 814352|||
kopp et al., 2000|Kopp, A. & Duncan, I. & Carroll, S.B.|2000|Genetic control and evolution of sexually dimorphic characters in Drosophila.|553-559|408|Nature|pdf|||||
kopp et al., 2003|Kopp, A. & Graze, R.M. & Xu, S. & Carroll, S.B. & Nuzhdin, S.V.|2003|Quantitative Trait Loci Responsible for Variation in Sexually Dimorphic Traits in Drosophila melanogaster.|771-787|163|Genetics|pdf|||||
kopp et al., 2006a|Kopp, A. & Frank, A. & Fu, J.|2006|Historical biogeography of Drosophila simulans based on Y-chromosome sequences.|355-362|38|Molec. Phylog. Evol.|pdf / 2006a|||||
